authors,original_publication_year,original_title,title,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
William Golding,1954,Lord of the Flies,Lord of the Flies,3.64,1605019,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg
"William Shakespeare, Robert Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,3.73,1628519,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg
Gillian Flynn,2012,Gone Girl,Gone Girl,4.03,512475,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg
Kathryn Stockett,2009,The Help,The Help,4.45,1531753,10235,25117,134887,490754,942552,https://images.gr-assets.com/books/1346100365m/4667024.jpg
John Steinbeck,1937,Of Mice and Men,Of Mice and Men,3.84,1467496,46630,110856,355169,532291,473795,https://images.gr-assets.com/books/1437235233m/890.jpg
Arthur Golden,1997,Memoirs of a Geisha,Memoirs of a Geisha,4.08,1300209,23500,59033,258700,517157,559782,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
E.L. James,2011,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493,165455,152293,252185,294976,571909,https://images.gr-assets.com/books/1385207843m/10818853.jpg
"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,The Alchemist,3.82,1299566,74846,123614,289143,412180,504212,https://images.gr-assets.com/books/1483412266m/865.jpg
Lois Lowry,1993,The Giver,"The Giver (The Giver, #1)",4.12,1296825,26497,59652,225326,448691,585279,https://images.gr-assets.com/books/1342493368m/3636.jpg
C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800,19309,55542,262038,513366,734629,https://images.gr-assets.com/books/1353029077m/100915.jpg
Audrey Niffenegger,2003,The Time Traveler's Wife,The Time Traveler's Wife,3.95,746287,44339,85429,257805,427210,493884,https://images.gr-assets.com/books/1437728815m/14050.jpg
George R.R. Martin,1996,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204,19988,28983,114092,404583,874574,https://images.gr-assets.com/books/1436732693m/13496.jpg
Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",3.51,1181647,100373,149549,310212,332191,314272,https://images.gr-assets.com/books/1503066414m/19501.jpg
Rick Riordan,2005,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265,18303,48294,219638,435514,689365,https://images.gr-assets.com/books/1400602609m/28187.jpg
Louisa May Alcott,1868,Little Women,"Little Women (Little Women, #1)",4.04,1257121,31645,70011,250794,426280,535563,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Charlotte Brontë, Michael Mason",1847,Jane Eyre,Jane Eyre,4.1,1198557,35132,64274,212294,400214,574221,https://images.gr-assets.com/books/1327867269m/10210.jpg
Nicholas Sparks,1996,The Notebook,"The Notebook (The Notebook, #1)",4.06,1053403,41395,63432,176469,298259,497194,https://images.gr-assets.com/books/1385738917m/15931.jpg
Yann Martel,2001,Life of Pi,Life of Pi,3.88,1003228,39768,74331,218702,384164,360466,https://images.gr-assets.com/books/1320562005m/4214.jpg
Sara Gruen,2006,Water for Elephants,Water for Elephants,4.07,1068146,16705,49832,200154,417328,424820,https://images.gr-assets.com/books/1494428973m/43641.jpg
Markus Zusak,2005,The Book Thief,The Book Thief,4.36,1159741,17892,35360,135272,377218,722056,https://images.gr-assets.com/books/1390053681m/19063.jpg
Ray Bradbury,1953,Fahrenheit 451,Fahrenheit 451,3.97,570498,28366,64289,238242,426292,419051,https://images.gr-assets.com/books/1351643740m/4381.jpg
Stephenie Meyer,2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",3.52,1149630,102837,160660,294207,290612,350684,https://images.gr-assets.com/books/1361039440m/49041.jpg
Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,4.29,1016888,16590,30792,139024,293222,544153,https://images.gr-assets.com/books/1168052448m/30119.jpg
Cassandra Clare,2007,City of Bones,"City of Bones (The Mortal Instruments, #1)",4.12,1154031,34122,65349,203466,356048,582814,https://images.gr-assets.com/books/1432730315m/256683.jpg
Stephenie Meyer,2007,Eclipse,"Eclipse (Twilight, #3)",3.69,1134511,83094,124293,260763,309358,399134,https://images.gr-assets.com/books/1361038355m/428263.jpg
Christopher Paolini,2002,Eragon,"Eragon (The Inheritance Cycle, #1)",3.86,1104021,50563,88536,240157,337943,408032,https://images.gr-assets.com/books/1366212852m/113436.jpg
Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,936782,21764,41962,145173,299579,498001,https://images.gr-assets.com/books/1327656754m/11.jpg
Aldous Huxley,1932,Brave New World,Brave New World,3.97,1022601,26367,60328,219895,389379,383166,https://images.gr-assets.com/books/1487389574m/5129.jpg
Stephenie Meyer,2008,Breaking Dawn,"Breaking Dawn (Twilight, #4)",3.7,1070245,100994,114893,213402,267706,410714,https://images.gr-assets.com/books/1361039438m/1162543.jpg
Sue Monk Kidd,2001,The Secret Life of Bees,The Secret Life of Bees,4.01,916189,17500,45455,185631,347540,341267,https://images.gr-assets.com/books/1473454532m/37435.jpg
"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,3.8,953758,28467,76630,255722,344356,296316,https://images.gr-assets.com/books/1405973850m/2956.jpg
"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,Charlotte's Web,4.15,1064521,18450,41124,191415,346090,487763,https://images.gr-assets.com/books/1439632243m/24178.jpg
Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,3.85,867553,21049,58117,218218,355925,262481,https://images.gr-assets.com/books/1479863624m/1618.jpg
Paula Hawkins,2015,The Girl on the Train,The Girl on the Train,3.88,1008778,27773,73897,273817,488447,362551,https://images.gr-assets.com/books/1490903702m/22557272.jpg
Philip Pullman,1995,Northern Lights,"The Golden Compass (His Dark Materials, #1)",3.94,953970,38382,64591,198764,313147,380030,https://images.gr-assets.com/books/1451271747m/119322.jpg
"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,Wuthering Heights,3.82,899195,46469,84084,215320,309180,346082,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Jodi Picoult,2004,My Sister's Keeper,My Sister's Keeper,4.06,863879,17547,42763,162573,314003,350994,https://images.gr-assets.com/books/1369504683m/10917.jpg
Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,4.06,846488,24964,45518,152442,300948,367890,https://images.gr-assets.com/books/1440319389m/4981.jpg
Margaret Mitchell,1936,Gone with the Wind,Gone with the Wind,4.28,873981,19996,33136,116160,234290,493721,https://images.gr-assets.com/books/1328025229m/18405.jpg
Khaled Hosseini,2007,A Thousand Splendid Suns,A Thousand Splendid Suns,4.34,818742,6509,18015,99030,295817,446694,https://images.gr-assets.com/books/1345958969m/128029.jpg
Stephen Chbosky,1999,The Perks of Being a Wallflower,The Perks of Being a Wallflower,4.21,888806,14286,38658,143440,297501,461020,https://images.gr-assets.com/books/1167352178m/22628.jpg
Veronica Roth,2012,Insurgent,"Insurgent (Divergent, #2)",4.07,836362,10641,44620,182131,339977,369969,https://images.gr-assets.com/books/1325667729m/11735983.jpg
Orson Scott Card,1985,Ender's Game,"Ender's Game (Ender's Saga, #1)",4.3,813439,15330,27612,103439,264207,462829,https://images.gr-assets.com/books/1408303130m/375802.jpg
"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",Frankenstein,3.75,808589,29366,74142,231022,300495,248538,https://images.gr-assets.com/books/1381512375m/18490.jpg
Stephen King,1977,The Shining,The Shining (The Shining #1),4.17,791850,18487,28981,123862,277393,382158,https://images.gr-assets.com/books/1353277730m/11588.jpg
Stephenie Meyer,2008,The Host,"The Host (The Host, #1)",3.84,749780,44215,62501,154906,227180,288758,https://images.gr-assets.com/books/1318009171m/1656001.jpg
John Green,2005,Looking for Alaska,Looking for Alaska,4.09,783470,16940,44232,147324,262932,359857,https://images.gr-assets.com/books/1394798630m/99561.jpg
Helen Fielding,1996,,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,736498,28973,59309,198555,254836,212825,https://images.gr-assets.com/books/1292060045m/227443.jpg
"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,Sense and Sensibility,4.06,738894,18430,34699,141987,272512,311754,https://images.gr-assets.com/books/1397245675m/14935.jpg
"Louis Sachar, Louis Sachar",1998,Holes,"Holes (Holes, #1)",3.93,747445,15495,43786,176946,269153,259257,https://images.gr-assets.com/books/1327781893m/38709.jpg
Lauren Weisberger,2003,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,665930,24231,58323,192366,226675,178250,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,The Odyssey,3.73,670326,29703,65629,183082,224120,208223,https://images.gr-assets.com/books/1390173285m/1381.jpg
"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,The Little Prince,4.28,738757,15039,32866,114714,228440,468227,https://images.gr-assets.com/books/1367545443m/157993.jpg
Jeannette Walls,2005,The Glass Castle,The Glass Castle,4.24,621099,7901,18922,85191,227750,298102,https://images.gr-assets.com/books/1400930557m/7445.jpg
Jon Krakauer,1996,Into the Wild,Into the Wild,3.94,647684,19229,35567,135199,248287,227095,https://images.gr-assets.com/books/1403173986m/1845.jpg
"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,A Tale of Two Cities,3.81,637412,28904,55555,153305,216378,223571,https://images.gr-assets.com/books/1344922523m/1953.jpg
Michael Crichton,1990,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",3.96,447833,15736,34222,138327,231583,230615,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Shel Silverstein,1964,The Giving Tree,The Giving Tree,4.38,702332,15345,20408,76071,167542,428921,https://images.gr-assets.com/books/1174210942m/370493.jpg
John Grisham,1989,A Time to Kill,A Time to Kill,4.03,597775,12106,25938,122675,218617,229488,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,Night (The Night Trilogy #1),4.3,691231,7761,18539,90575,230227,360777,https://images.gr-assets.com/books/1473495285m/1617.jpg
John Green,2008,Paper Towns,Paper Towns,3.88,461311,14105,47183,154479,223895,215609,https://images.gr-assets.com/books/1349013610m/6442769.jpg
William Goldman,1973,The Princess Bride,The Princess Bride,4.25,628637,12883,21641,89236,196047,338235,https://images.gr-assets.com/books/1327903636m/21787.jpg
S.E. Hinton,1967,The Outsiders,The Outsiders,4.06,659248,10178,34346,134244,227250,274419,https://images.gr-assets.com/books/1442129426m/231804.jpg
James Dashner,2009,The Maze Runner,"The Maze Runner (Maze Runner, #1)",4.02,719925,15291,43370,150488,266698,302109,https://images.gr-assets.com/books/1375596592m/6186357.jpg
"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,524191,14586,26538,115789,216316,176072,https://images.gr-assets.com/books/1327909092m/1202.jpg
Frances Hodgson Burnett,1911,The Secret Garden,The Secret Garden,4.12,639357,8005,25207,129646,243821,285570,https://images.gr-assets.com/books/1327873635m/2998.jpg
"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,One Hundred Years of Solitude,4.04,490565,27340,37646,87675,155809,267197,https://images.gr-assets.com/books/1327881361m/320.jpg
"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,The Picture of Dorian Gray,4.06,590014,9825,30735,129420,246892,257679,https://images.gr-assets.com/books/1424596966m/5297.jpg
E.L. James,2012,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)",3.88,387290,39079,55691,109963,140304,265079,https://images.gr-assets.com/books/1336418837m/13536860.jpg
"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,Dracula,3.98,618973,11756,36719,151396,246043,243825,https://images.gr-assets.com/books/1387151694m/17245.jpg
"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",4.22,563994,4623,15781,91021,258236,279592,https://images.gr-assets.com/books/1351778881m/5060378.jpg
E.L. James,2011,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",3.87,552059,37245,58935,114203,150906,262051,https://images.gr-assets.com/books/1358266080m/11857408.jpg
Barbara Kingsolver,1998,The Poisonwood Bible,The Poisonwood Bible,4.02,546502,21699,33702,92590,175725,239071,https://images.gr-assets.com/books/1412242487m/7244.jpg
David Sedaris,2000,Me Talk Pretty One Day,Me Talk Pretty One Day,3.97,495736,19718,29034,93427,178021,194076,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Maurice Sendak,1963,Where the Wild Things Are,Where the Wild Things Are,4.22,620618,15392,27532,93700,167043,332394,https://images.gr-assets.com/books/1384434560m/19543.jpg
"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,The Count of Monte Cristo,4.21,555822,10381,22482,89980,183142,295235,https://images.gr-assets.com/books/1309203605m/7126.jpg
Cormac McCarthy,2006,The Road,The Road,3.95,504793,20086,36561,100989,190823,207328,https://images.gr-assets.com/books/1439197219m/6288.jpg
Veronica Roth,2013,Allegiant,"Allegiant (Divergent, #3)",3.63,463257,31626,78366,176061,192785,184388,https://images.gr-assets.com/books/1395582745m/18710190.jpg
Tina Fey,2011,Bossypants,Bossypants,3.94,506250,14842,31761,129390,230080,203187,https://images.gr-assets.com/books/1481509554m/9418327.jpg
Nicholas Sparks,1999,A Walk to Remember,A Walk to Remember,4.15,546948,10640,24094,94327,169650,260870,https://images.gr-assets.com/books/1385738968m/3473.jpg
Sophie Kinsella,2000,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,543658,30705,56949,156636,166927,146787,https://images.gr-assets.com/books/1327872404m/9416.jpg
"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,Les Misérables,4.14,513407,15225,25914,87461,167385,264147,https://images.gr-assets.com/books/1411852091m/24280.jpg
George R.R. Martin,1998,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,523303,1788,7104,56167,221706,320000,https://images.gr-assets.com/books/1358254974m/10572.jpg
Kim Edwards,2005,The Memory Keeper's Daughter,The Memory Keeper's Daughter,3.64,501430,19453,47004,145437,183150,115538,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Jojo Moyes,2012,Me Before You,"Me Before You (Me Before You, #1)",4.27,587647,10346,21880,91517,249474,367916,https://images.gr-assets.com/books/1357108762m/15507958.jpg
Joseph Heller,1961,Catch-22,Catch-22,3.98,563265,20639,37912,106269,186745,230950,https://images.gr-assets.com/books/1463157317m/168668.jpg
"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,Tuesdays with Morrie,4.06,556518,11507,30534,107446,194448,240462,https://images.gr-assets.com/books/1423763749m/6900.jpg
Jeffrey Eugenides,2002,Middlesex,Middlesex,3.98,488243,19329,30503,89740,171099,197327,https://images.gr-assets.com/books/1437029776m/2187.jpg
"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,3.89,555359,12130,34349,143659,217896,186192,https://images.gr-assets.com/books/1404811979m/24583.jpg
Madeleine L'Engle,1962,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,615907,17313,34988,119115,209745,268933,https://images.gr-assets.com/books/1329061522m/18131.jpg
Amy Tan,1989,The Joy Luck Club,The Joy Luck Club,3.9,515090,14802,30197,116748,195930,167566,https://images.gr-assets.com/books/1304978653m/7763.jpg
Margaret Atwood,1985,The Handmaid's Tale,The Handmaid's Tale,4.06,607889,13998,32561,116975,252942,267088,https://images.gr-assets.com/books/1498057733m/38447.jpg
Ann Brashares,2001,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,525706,14996,42396,152024,177404,149784,https://images.gr-assets.com/books/1461611233m/452306.jpg
"Vladimir Nabokov, Craig Raine",1955,Lolita,Lolita,3.88,469836,21091,37205,108664,165477,185553,https://images.gr-assets.com/books/1377756377m/7604.jpg
"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,506900,40802,65835,132061,153583,133217,https://images.gr-assets.com/books/1437733293m/37442.jpg
John Grisham,1991,The Firm,"The Firm (Penguin Readers, Level 5)",3.99,488269,5075,20119,111543,190966,160652,https://images.gr-assets.com/books/1418465200m/5358.jpg
Emma Donoghue,2010,Room,Room,4.03,511360,11020,26079,99831,217995,201402,https://images.gr-assets.com/books/1344265419m/7937843.jpg
"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,4,515820,10413,32697,121040,192937,219807,https://images.gr-assets.com/books/1351051208m/1420.jpg
Frank Herbert,1965,Dune,Dune (Dune Chronicles #1),4.19,485032,13354,22778,74206,154771,260867,https://images.gr-assets.com/books/1434908555m/234225.jpg
Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,15111,25871,106453,189120,162511,https://images.gr-assets.com/books/1473396980m/2612.jpg
Walter Isaacson,2011,Steve Jobs,Steve Jobs,4.09,560715,19680,21986,88456,203975,245159,https://images.gr-assets.com/books/1327861368m/11084145.jpg
Ken Kesey,1962,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,4.18,491642,5672,15978,78714,191622,222472,https://images.gr-assets.com/books/1485308778m/332613.jpg
Ernest Hemingway,1952,The Old Man and the Sea,The Old Man and the Sea,3.73,520630,28645,52583,136217,186747,170136,https://images.gr-assets.com/books/1329189714m/2165.jpg
John Steinbeck,1939,The Grapes of Wrath,The Grapes of Wrath,3.92,322321,23552,40261,103475,173589,212475,https://images.gr-assets.com/books/1352912927m/4395.jpg
Mitch Albom,2003,The Five People You Meet in Heaven,The Five People You Meet in Heaven,3.9,449501,12360,33669,107800,155830,165040,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
L.M. Montgomery,1908,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,502247,8864,19531,80256,158725,265976,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Cassandra Clare,2009,City of Glass,"City of Glass (The Mortal Instruments, #3)",4.34,593173,6646,17351,79202,179290,348071,https://images.gr-assets.com/books/1369452339m/3777732.jpg
George R.R. Martin,2000,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,469022,1456,4820,36418,149268,335682,https://images.gr-assets.com/books/1497931121m/62291.jpg
Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676,15795,35314,120396,158451,140552,https://images.gr-assets.com/books/1408313524m/137791.jpg
Diana Gabaldon,1991,Outlander,"Outlander (Outlander, #1)",4.2,515547,20998,27673,73126,147085,309960,https://images.gr-assets.com/books/1402600310m/10964.jpg
"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,The Scarlet Letter,3.37,509883,34813,80444,182701,165079,96209,https://images.gr-assets.com/books/1404810944m/12296.jpg
Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,613674,14920,45434,159227,234792,217849,https://images.gr-assets.com/books/1472782916m/9460487.jpg
"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,443951,3823,14773,78387,203297,226511,https://images.gr-assets.com/books/1327708260m/6892870.jpg
Andy Weir,2012,The Martian,The Martian,4.39,423344,4114,10856,49200,173861,291671,https://images.gr-assets.com/books/1413706054m/18007564.jpg
Ken Follett,1989,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,462517,9248,16886,57825,148052,263882,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Anthony Doerr,2014,,All the Light We Cannot See,4.31,470001,6209,14527,61020,185239,280832,https://images.gr-assets.com/books/1451445646m/18143977.jpg
Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775,10308,12874,47828,144203,313339,https://images.gr-assets.com/books/1327861115m/8664353.jpg
Dan Brown,2001,Deception Point,Deception Point,3.67,455610,14380,45006,143182,160819,116346,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Donna Tartt,2013,The Goldfinch,The Goldfinch,3.87,396756,19164,35300,93459,153459,162465,https://images.gr-assets.com/books/1451554970m/17333223.jpg
Jay Asher,2007,Thirteen Reasons Why,Thirteen Reasons Why,4.02,463783,15246,35668,105414,179197,235756,https://images.gr-assets.com/books/1333822506m/1217100.jpg
Tracy Chevalier,1999,Girl with a Pearl Earring,Girl with a Pearl Earring,3.85,467577,11525,28287,123463,189656,139246,https://images.gr-assets.com/books/1327197580m/2865.jpg
